af_id,framework,domain,code,lib_name,description,wcgw_typical,nature,frequency,key,design_default,owner_type,test_procedures,applies_to_domains,archived
lib_p2p_012,COSO 2013,Procure-to-Pay,P2P-012,Matrice de signatures bancaires multi-niveaux,1 sig jusqu'à 10k - 2 sig 10-100k - 2 sig dont dirigeant >100k,Paiement non autorisé — Détournement par contournement de la matrice de signature,Manual,Day,true,Existing,Trésorerie,Sélectionner 25 paiements de chaque tranche. Vérifier la conformité à la matrice.,"[""F - Finance""]",false
lib_p2p_013,COSO 2013,Procure-to-Pay,P2P-013,Cohérence IBAN paiement vs master,Le fichier de paiement est rapproché de la base fournisseurs avant transmission,Paiement vers compte non maître — Fraude au virement (CEO fraud),IT-Dependent,Day,true,Existing,Trésorerie,Tenter d'introduire un IBAN différent. Vérifier le blocage.,"[""F - Finance""]",false
lib_p2p_014,COSO 2013,Procure-to-Pay,P2P-014,Screening anti-blanchiment et sanctions,Tout paiement international screené contre OFAC/UE/ONU avant exécution,Paiement vers pays sensible — Violation des sanctions internationales,IT-Dependent,Day,true,Existing,Compliance,Tester avec un nom de la liste OFAC. Vérifier le screening.,"[""F - Finance""]",false
lib_p2p_015,COSO 2013,Procure-to-Pay,P2P-015,Lettrage et analyse mensuelle,Lettrage automatique mensuel + revue manuelle des écritures >60 jours,Compte fournisseur non lettré — Risque de dissimulation de fraude ou erreur,Manual,Month,false,Existing,Comptabilité Fournisseurs,Sélectionner 20 items >60j non lettrés. Demander justification et action.,"[""F - Finance""]",false
lib_otc_001,COSO 2013,Order-to-Cash,OTC-001,Validation par un tiers de la création de client,Toute création de client validée par une personne distincte du demandeur. KYC documenté,Client fictif ou non vérifié — Un commercial crée un client fictif pour gonfler ses chiffres ou détourner,Manual,Day,true,Existing,Crédit,Sélectionner 25 créations de clients. Vérifier validation indépendante et complétude KYC.,"[""F - Finance""]",false
lib_otc_002,COSO 2013,Order-to-Cash,OTC-002,Revue annuelle des limites de crédit,Revue annuelle de toutes les limites avec scoring crédit. Mise à jour ou retrait selon analyse,Limite de crédit non revue — Client en difficulté financière conserve une limite de crédit élevée,Manual,Year,true,Existing,Direction Crédit,Échantillonner 30 clients actifs. Vérifier date de dernière revue et cohérence avec score.,"[""F - Finance""]",false
lib_otc_003,COSO 2013,Order-to-Cash,OTC-003,Double validation des modifications RIB,Toute modification de RIB de remboursement nécessite double validation et trace,Modification non autorisée RIB client — Modification interne ou externe pour détourner un remboursement,Manual,Day,true,Existing,Comptabilité Clients,Sélectionner 15 modifications. Vérifier double validation et justification.,"[""F - Finance""]",false
lib_otc_004,COSO 2013,Order-to-Cash,OTC-004,Blocage automatique sur dépassement crédit,L'ERP bloque toute commande qui ferait dépasser la limite. Override Direction Crédit uniquement,Commande au-delà de la limite de crédit — Pression commerciale fait passer outre la limite de crédit,IT-Dependent,Day,true,Existing,Crédit,Tester un dépassement. Lister tous les overrides et vérifier les autorisations.,"[""F - Finance""]",false
lib_otc_005,COSO 2013,Order-to-Cash,OTC-005,Matrice de délégation des prix et remises,Toute remise au-delà du barème nécessite validation hiérarchique selon matrice,Prix ou remise non autorisé — Avantage indu accordé à un client par un commercial,Manual,Day,true,Existing,Direction Commerciale,Échantillonner 30 commandes avec remises. Vérifier la conformité à la matrice.,"[""F - Finance""]",false
lib_otc_006,COSO 2013,Order-to-Cash,OTC-006,Matching commande - livraison,L'ERP exige une commande validée avant édition du bon de livraison,Livraison sans commande — Vol ou cadeau non autorisé,IT-Dependent,Day,true,Existing,Logistique,Tenter une expédition sans commande. Vérifier le blocage.,"[""F - Finance""]",false
lib_otc_007,COSO 2013,Order-to-Cash,OTC-007,Procédure de cut-off documentée et testée,Procédure formelle de cut-off avec rapprochement physique fin de période,Cut-off de livraison — Comptabilisation décalée gonflant ou minorant le CA,Manual,Month,true,Existing,Logistique,Vérifier 10 dernières livraisons du mois et 10 premières du suivant. Conformité comptable.,"[""F - Finance""]",false
lib_otc_008,COSO 2013,Order-to-Cash,OTC-008,Rapprochement automatique livraisons / factures,Rapport quotidien des livraisons sans facture émise sous 48h. Suivi par Comptabilité,Facture non émise pour livraison — Perte de revenu ou erreur de facturation,IT-Dependent,Day,true,Existing,Comptabilité Clients,Extraire les livraisons sans facture sur la période. Documenter les raisons.,"[""F - Finance""]",false
lib_otc_009,COSO 2013,Order-to-Cash,OTC-009,Contrôle automatique cohérence prix et TVA,L'ERP applique le tarif catalogue et le taux TVA selon paramétrage. Modifications tracées,Facture inexacte (prix ou TVA) — Erreur de paramétrage ERP ou saisie manuelle,IT-Dependent,Day,true,Existing,Comptabilité,Tenter une saisie hors barème. Échantillonner 25 factures et vérifier les calculs.,"[""F - Finance""]",false
lib_otc_010,COSO 2013,Order-to-Cash,OTC-010,Politique de revenue recognition documentée,Politique IFRS 15 / ASC 606 documentée. Validation Comptable pour cas complexes,Reconnaissance prématurée du revenu — Pression sur le résultat fait avancer la reconnaissance,Manual,Day,true,Existing,Comptabilité,Échantillonner 20 contrats complexes. Vérifier cohérence avec la politique.,"[""F - Finance""]",false
lib_otc_011,COSO 2013,Order-to-Cash,OTC-011,Lettrage automatique avec contrôle des écarts,Lettrage automatique sur référence facture. Revue manuelle des écarts,Encaissement mal alloué — Erreur de saisie ou détournement par lettrage frauduleux,IT-Dependent,Day,true,Existing,Comptabilité Clients,Extraire les encaissements non lettrés. Échantillonner et investiguer.,"[""F - Finance""]",false
lib_otc_012,COSO 2013,Order-to-Cash,OTC-012,Validation indépendante des avoirs,Tout avoir au-delà d'un seuil validé par un manager indépendant du commercial,Avoir non justifié — Détournement par avoir frauduleux à un complice,Manual,Day,true,Existing,Direction Commerciale,"Sélectionner 25 avoirs. Vérifier la validation et la justification (retour, litige).","[""F - Finance""]",false
lib_otc_013,COSO 2013,Order-to-Cash,OTC-013,Provisionnement systématique selon balance âgée,Provision auto selon antériorité. Revue trimestrielle au cas par cas,Créances anciennes non provisionnées — Surévaluation des créances clients au bilan,Manual,Quarter,true,Existing,Comptabilité,Recalculer la provision sur la balance âgée. Vérifier les cas spécifiques.,"[""F - Finance""]",false
lib_otc_014,COSO 2013,Order-to-Cash,OTC-014,Matrice de validation des passages en perte,Toute écriture de perte sur créance validée selon matrice montant. >100k = Direction,Passage en perte sans validation — Dissimulation d'un détournement par passage en perte,Manual,Day,true,Existing,DAF,Lister tous les passages en perte. Vérifier les autorisations selon montants.,"[""F - Finance""]",false
lib_otc_015,COSO 2013,Order-to-Cash,OTC-015,Rapprochement mensuel sous-grand-livre / GL,Rapprochement formalisé chaque mois. Validation par responsable comptable,Sous-grand-livre clients non rapproché — Erreur ou manipulation comptable non détectée,Manual,Month,true,Existing,Comptabilité Clients,Sélectionner 3 mois. Vérifier le rapprochement et la résolution des écarts.,"[""F - Finance""]",false
lib_rtr_001,COSO 2013,Record-to-Report,RTR-001,Workflow d'approbation des écritures manuelles,Toute écriture manuelle saisie par un préparateur et validée par un réviseur indépendant,Écriture manuelle non autorisée — Manipulation des comptes par écriture non revue,Manual,Day,true,Existing,Comptabilité,Échantillonner 30 écritures manuelles. Vérifier préparateur ≠ réviseur et validation.,"[""F - Finance""]",false
lib_rtr_002,COSO 2013,Record-to-Report,RTR-002,Verrouillage automatique des périodes,L'ERP bloque toute saisie sur période fermée. Réouverture nécessite approbation DAF,Écriture passée hors période d'ouverture — Modification rétroactive des comptes,IT-Dependent,Day,true,Existing,IT,Tester une saisie sur période fermée. Lister les réouvertures et leurs motifs.,"[""F - Finance""]",false
lib_rtr_003,COSO 2013,Record-to-Report,RTR-003,Ségrégation des tâches sur les écritures,Matrice SoD ERP : préparation et validation des écritures séparées par profil,Écriture passée par utilisateur incompatible — Préparation et validation par la même personne,IT-Dependent,Day,true,Existing,IT,Extraire la matrice SoD. Identifier les conflits sur les écritures.,"[""F - Finance""]",false
lib_rtr_004,COSO 2013,Record-to-Report,RTR-004,Rapprochement mensuel des comptes de bilan,Tous les comptes de bilan rapprochés mensuellement. Validation hiérarchique,Compte de bilan non rapproché — Erreur ou manipulation non détectée,Manual,Month,true,Existing,Comptabilité,Échantillonner 15 comptes. Vérifier le rapprochement et la résolution des items en suspens.,"[""F - Finance""]",false
lib_rtr_005,COSO 2013,Record-to-Report,RTR-005,Aging et escalade des items en suspens,Items >90j escaladés au DAF mensuellement avec plan de résolution,Items en suspens non résolus — Dissimulation d'erreurs ou de fraudes,Manual,Month,false,Existing,Comptabilité,Extraire la liste des items en suspens >90j. Vérifier le suivi.,"[""F - Finance""]",false
lib_rtr_006,COSO 2013,Record-to-Report,RTR-006,Rapprochement intercompagnie mensuel,Rapprochement formalisé entre toutes les entités. Écarts >seuil investigués,Écart d'élimination intercompagnie — Double comptage ou perte de revenu non éliminé,Manual,Month,true,Existing,Comptabilité Groupe,Extraire les écarts IC sur la période. Vérifier la résolution.,"[""F - Finance""]",false
lib_rtr_007,COSO 2013,Record-to-Report,RTR-007,Calendrier de clôture détaillé et suivi,Calendrier J+ détaillé par étape. Réunion quotidienne pendant le closing,Délai de clôture non respecté — Qualité dégradée ou information non fiable,Manual,Month,false,Existing,Comptabilité,Vérifier le respect du calendrier sur 3 clôtures. Lister les retards et causes.,"[""F - Finance""]",false
lib_rtr_008,COSO 2013,Record-to-Report,RTR-008,Dossier de provision avec justificatif,"Toute provision >seuil documentée avec hypothèses, calcul et validation DAF",Provision non documentée — Lissage du résultat (cookie jar accounting),Manual,Month,true,Existing,DAF,Échantillonner 15 provisions. Vérifier la documentation et la validation.,"[""F - Finance""]",false
lib_rtr_009,COSO 2013,Record-to-Report,RTR-009,Revue indépendante des hypothèses,Hypothèses des estimations significatives revues par DAF et auditeurs externes,Estimations comptables biaisées — Manipulation du résultat par hypothèses,Manual,Quarter,true,Existing,DAF,Vérifier la cohérence des hypothèses dans le temps. Comparer aux benchmarks sectoriels.,"[""F - Finance""]",false
lib_rtr_010,COSO 2013,Record-to-Report,RTR-010,Paramétrage centralisé des taux de change,Taux centralisés mensuellement. Application automatique selon norme (clôture / moyen),Erreur de conversion de devises — Distorsion des comptes consolidés,IT-Dependent,Month,true,Existing,Comptabilité Groupe,Recalculer la conversion sur 5 entités. Vérifier le taux appliqué selon le compte.,"[""F - Finance""]",false
lib_rtr_011,COSO 2013,Record-to-Report,RTR-011,Revue trimestrielle du périmètre,"Revue avec Juridique des participations + déclencheurs (acquisition, perte de contrôle)",Périmètre de consolidation incomplet — Sous-évaluation du groupe,Manual,Quarter,true,Existing,Comptabilité Groupe,Comparer la matrice du périmètre avec les participations Juridique. Vérifier les mouvements.,"[""F - Finance""]",false
lib_rtr_012,COSO 2013,Record-to-Report,RTR-012,Revue multi-niveaux du reporting externe,Comptes annuels et communication revus par DAF + Direction Générale + CAC + Comité d'Audit,Erreur dans le reporting financier externe — Préjudice réputationnel et risque de sanction,Manual,Year,true,Existing,DAF,Vérifier la trace de revue à chaque niveau. Recalculer 10 chiffres clés.,"[""F - Finance""]",false
lib_rtr_013,COSO 2013,Record-to-Report,RTR-013,Validation des liasses fiscales par expert,Toute liasse revue par fiscaliste interne ou cabinet externe avant dépôt,Charge d'impôt mal calculée — Risque fiscal et redressement,Manual,Year,true,Existing,Fiscalité,Vérifier la trace de revue. Échantillonner 5 retraitements et recalculer.,"[""F - Finance""]",false
lib_rtr_014,COSO 2013,Record-to-Report,RTR-014,Revue trimestrielle des accès comptables,Revue par Comptabilité + IT des profils ayant accès aux écritures et au paramétrage,Accès trop large au grand livre — Risque d'écriture frauduleuse ou erreur,Manual,Quarter,true,Existing,Comptabilité,Extraire les utilisateurs avec droits sensibles. Vérifier la justification métier.,"[""F - Finance""]",false
lib_hr_001,COSO 2013,Human Resources,HR-001,Validation préalable des ouvertures de poste,Toute ouverture validée selon matrice (manager + RH + Finance). Headcount tracé,Recrutement non autorisé — Coût RH non maîtrisé,Manual,Day,true,Existing,RH,Sélectionner 20 embauches. Vérifier la trace d'ouverture validée préalable.,"[""G - HR""]",false
lib_hr_002,COSO 2013,Human Resources,HR-002,Background check systématique,Vérification références + diplômes + casier (selon poste) avant signature du contrat,Vérification d'antécédents non effectuée — Risque réputationnel et fraude,Manual,Day,true,Existing,RH,Échantillonner 25 dossiers d'embauche. Vérifier la complétude des background checks.,"[""G - HR""]",false
lib_hr_003,COSO 2013,Human Resources,HR-003,Liens RH-IT pour création des accès,Création des accès SI déclenchée par signature du contrat dans SIRH (workflow auto),Accès donné avant signature — Risque juridique et sécuritaire,IT-Dependent,Day,true,Existing,RH,Tester un cas. Échantillonner 20 onboardings et vérifier les dates contrat / accès.,"[""G - HR""]",false
lib_hr_004,COSO 2013,Human Resources,HR-004,DPAE systématique avant prise de poste,DPAE émise au moins 24h avant prise de poste. Trace conservée,Salarié non déclaré — Sanction URSSAF + risque pénal,Manual,Day,true,Existing,RH,Échantillonner 25 embauches. Vérifier la DPAE et l'antériorité vs prise de poste.,"[""G - HR""]",false
lib_hr_005,COSO 2013,Human Resources,HR-005,Workflow de modification avec double validation,Modifications de salaire / titre / centre de coût validées par manager + RH,Modification non autorisée du salaire ou poste — Fraude ou erreur de paie,Manual,Day,true,Existing,RH,Échantillonner 20 modifications. Vérifier la double validation.,"[""G - HR""]",false
lib_hr_006,COSO 2013,Human Resources,HR-006,Validation hiérarchique des feuilles de temps,Toutes les feuilles de temps validées par le manager avant traitement paie,Pointage frauduleux — Surcoût payé indûment,Manual,Month,true,Existing,Manager,Échantillonner 30 feuilles. Vérifier la trace de validation manager.,"[""G - HR""]",false
lib_hr_007,COSO 2013,Human Resources,HR-007,Politique bonus formalisée et tracée,Politique bonus écrite. Évaluation et calcul tracés et validés,Bonus calculé sans support — Subjectivité ou favoritisme,Manual,Year,true,Existing,RH,Échantillonner 20 bonus. Vérifier la cohérence avec la politique.,"[""G - HR""]",false
lib_hr_008,COSO 2013,Human Resources,HR-008,Analyse annuelle des écarts de rémunération,Calcul Index Egapro + analyse des écarts par catégorie. Plan d'action si écart,Inégalités de rémunération non détectées — Risque juridique (Index Egapro),Manual,Year,true,Existing,RH,Recalculer l'Index sur les données paie. Vérifier la cohérence avec le déclaré.,"[""G - HR""]",false
lib_hr_009,COSO 2013,Human Resources,HR-009,Double contrôle des soldes de tout compte,Solde calculé par paie et revu par RH. Validation salarié obtenue,Solde de tout compte erroné — Risque prud'homal et coût,Manual,Day,true,Existing,Paie,Échantillonner 15 départs. Recalculer et vérifier la trace de revue.,"[""G - HR""]",false
lib_hr_010,COSO 2013,Human Resources,HR-010,Désactivation automatique des accès au départ,Workflow RH-IT déclenche révocation automatique le jour J du départ,Accès maintenus après départ — Risque sécuritaire et fuite de données,IT-Dependent,Day,true,Existing,RH,Lister 25 départs sur la période. Vérifier la date de désactivation des accès.,"[""G - HR""]",false
lib_hr_011,COSO 2013,Human Resources,HR-011,Suivi des formations obligatoires par SIRH,SIRH suit échéances. Relances auto + escalade manager si retard,Formations obligatoires non suivies — Risque accident + sanction,IT-Dependent,Day,false,Existing,RH,Extraire les formations obligatoires en retard. Vérifier les actions.,"[""G - HR""]",false
lib_hr_012,COSO 2013,Human Resources,HR-012,Revue annuelle des accès aux données RH,Revue par RH + DPO des profils ayant accès au SIRH. Principe du moindre privilège,Données RH accessibles sans besoin métier — Violation RGPD,Manual,Year,true,Existing,RH,Extraire les utilisateurs SIRH. Vérifier la justification métier de chaque accès.,"[""G - HR""]",false
lib_pay_001,COSO 2013,Payroll,PAY-001,Rapprochement effectifs paie vs SIRH,Rapprochement mensuel des salariés payés vs effectifs SIRH actifs. Écarts justifiés,Salarié fictif sur la paie — Détournement de salaire,IT-Dependent,Month,true,Existing,Paie,Recalculer l'écart sur 3 mois. Investiguer les écarts non résolus.,"[""G - HR"",""F - Finance""]",false
lib_pay_002,COSO 2013,Payroll,PAY-002,Workflow de modification + journal d'audit,Toute modification dans le SIRH/Paie tracée et validée selon matrice,Modification non autorisée des données paie — Fraude ou erreur de paie,Manual,Day,true,Existing,Paie,Sélectionner 25 modifications. Vérifier la validation et le journal.,"[""G - HR"",""F - Finance""]",false
lib_pay_003,COSO 2013,Payroll,PAY-003,Double validation des changements de RIB,Changement RIB validé par salarié (auth) + Paie. Délai de carence avant prise en compte,Modification RIB salarié frauduleuse — Fraude au virement (interne ou externe),Manual,Day,true,Existing,Paie,Sélectionner 15 changements RIB. Vérifier double validation et délai.,"[""G - HR"",""F - Finance""]",false
lib_pay_004,COSO 2013,Payroll,PAY-004,Tests de paramétrage à chaque évolution,Tout paramétrage testé avant mise en production. Validation Paie + Comptabilité,Erreur de calcul de paie — Préjudice salarié + risque URSSAF,Manual,Day,true,Existing,Paie,Vérifier la trace de tests pour 5 évolutions. Recalculer 10 paies.,"[""G - HR"",""F - Finance""]",false
lib_pay_005,COSO 2013,Payroll,PAY-005,Validation manager des heures supplémentaires,Toute heure sup validée par manager + alerte si dépassement contingent annuel,Heures supplémentaires non contrôlées — Surcoût et risque de fraude,Manual,Month,true,Existing,Manager,Échantillonner 25 heures sup. Vérifier validation et respect du contingent.,"[""G - HR"",""F - Finance""]",false
lib_pay_006,COSO 2013,Payroll,PAY-006,Justificatif obligatoire pour primes exceptionnelles,Toute prime exceptionnelle nécessite ordre signé manager + RH,Primes ou bonus non justifiés — Subjectivité ou détournement,Manual,Day,true,Existing,RH,Échantillonner 20 primes. Vérifier la signature et la cohérence.,"[""G - HR"",""F - Finance""]",false
lib_pay_007,COSO 2013,Payroll,PAY-007,Veille sociale et mise à jour des paramètres,Veille mensuelle des taux. Mise à jour paramétrage trimestrielle a minima,Cotisations sociales mal calculées — Redressement URSSAF,Manual,Quarter,true,Existing,Paie,Vérifier les taux appliqués vs taux officiels sur 3 mois.,"[""G - HR"",""F - Finance""]",false
lib_pay_008,COSO 2013,Payroll,PAY-008,Validation hiérarchique du bordereau de paie,Bordereau revu par RH + Comptabilité avant transmission banque. Variations vs N-1 expliquées,Paie validée sans contrôle — Erreur ou fraude non détectée,Manual,Month,true,Existing,RH,Échantillonner 3 mois. Vérifier la trace de revue et l'analyse des variations.,"[""G - HR"",""F - Finance""]",false
lib_pay_009,COSO 2013,Payroll,PAY-009,Cohérence IBAN paiement vs SIRH,Le fichier de virements rapproché du SIRH avant transmission. Écart bloque,Paiement vers compte autre que salarié — Fraude au virement,IT-Dependent,Month,true,Existing,Paie,Tester l'introduction d'un IBAN non SIRH. Vérifier le blocage.,"[""G - HR"",""F - Finance""]",false
lib_pay_010,COSO 2013,Payroll,PAY-010,Contrôles automatiques avant envoi DSN,Contrôles bloquants paramétrés. Validation Paie + envoi automatique selon calendrier,DSN incorrecte ou en retard — Sanction administrative,IT-Dependent,Month,true,Existing,Paie,Vérifier la transmission et les contrôles bloqués sur 3 DSN.,"[""G - HR"",""F - Finance""]",false
lib_pay_011,COSO 2013,Payroll,PAY-011,Rapprochement mensuel paie vs GL,Rapprochement formalisé entre la masse salariale paie et le GL chaque mois,Compte de paie non rapproché — Erreur ou détournement non détecté,Manual,Month,true,Existing,Comptabilité,Sélectionner 3 mois. Vérifier la cohérence et la résolution des écarts.,"[""G - HR"",""F - Finance""]",false
lib_pay_012,COSO 2013,Payroll,PAY-012,Revue trimestrielle des accès paie,Revue Paie + IT des profils ayant accès au calcul / paramétrage / virements,Accès trop large au système de paie — Risque de manipulation,Manual,Quarter,true,Existing,Paie,Extraire les utilisateurs avec droits sensibles. Justifier chaque accès.,"[""G - HR"",""F - Finance""]",false
lib_pay_013,COSO 2013,Payroll,PAY-013,Contrôles de conformité paramétrés,"Alertes auto sur paie inférieure SMIC, dépassement durée, congés non pris","Non-respect des seuils légaux (SMIC, congés) — Risque prud'homal et URSSAF",IT-Dependent,Month,false,Existing,Paie,Vérifier les alertes émises sur 3 mois et leur traitement.,"[""G - HR"",""F - Finance""]",false
lib_tre_001,COSO 2013,Treasury,TRE-001,Centralisation des ouvertures de compte,Toute ouverture validée par DAF + Direction Générale. Liste exhaustive maintenue,Compte bancaire non autorisé — Risque de comptes off-the-books,Manual,Day,true,Existing,DAF,Comparer la liste interne avec les confirmations bancaires annuelles. Investiguer les écarts.,"[""F - Finance""]",false
lib_tre_002,COSO 2013,Treasury,TRE-002,Revue trimestrielle des pouvoirs bancaires,Revue trimestrielle de la matrice des pouvoirs vs effectifs. Mise à jour banque,Pouvoirs bancaires obsolètes — Risque de fraude,Manual,Quarter,true,Existing,Trésorerie,Comparer la matrice avec les RH (mouvements). Vérifier les courriers banque.,"[""F - Finance""]",false
lib_tre_003,COSO 2013,Treasury,TRE-003,Forecast hebdomadaire avec analyse d'écarts,Forecast 13 semaines glissant. Analyse hebdo des écarts vs réel,Prévision de trésorerie inexacte — Coût d'intérêt + risque liquidité,Manual,Week,false,Existing,Trésorerie,Comparer forecasts et réalisé sur 8 semaines. Investiguer les écarts >10%.,"[""F - Finance""]",false
lib_tre_004,COSO 2013,Treasury,TRE-004,Politique de placement formalisée et appliquée,Politique définit instruments / contreparties / durées autorisés. Tout placement validé,Placement non conforme à la politique — Risque financier,Manual,Day,true,Existing,Trésorerie,Échantillonner 20 placements. Vérifier la conformité à la politique.,"[""F - Finance""]",false
lib_tre_005,COSO 2013,Treasury,TRE-005,Limites par contrepartie et reporting,Limites par contrepartie. Reporting mensuel d'exposition. Alertes auto,Concentration excessive sur une contrepartie — Risque de contrepartie,IT-Dependent,Month,true,Existing,Trésorerie,Recalculer l'exposition par contrepartie. Vérifier le respect des limites.,"[""F - Finance""]",false
lib_tre_006,COSO 2013,Treasury,TRE-006,Workflow de validation multi-niveaux,Tout paiement validé selon matrice de signatures avant transmission banque,Paiement non autorisé — Détournement,Manual,Day,true,Existing,Trésorerie,Sélectionner 25 paiements. Vérifier les signatures vs matrice.,"[""F - Finance""]",false
lib_tre_007,COSO 2013,Treasury,TRE-007,Hash et signature du fichier de paiement,Le fichier signé électroniquement. Hash vérifié à la transmission,Manipulation du fichier de paiement — Détournement par injection de virements,IT-Dependent,Day,true,Existing,Trésorerie,Tenter une modification entre validation et transmission. Vérifier la détection.,"[""F - Finance""]",false
lib_tre_008,COSO 2013,Treasury,TRE-008,Mesure et couverture des positions FX,Position calculée quotidiennement. Couverture systématique au-delà du seuil,Position de change non couverte — Perte de change,Manual,Day,true,Existing,Trésorerie,Recalculer la position. Vérifier les couvertures et leur conformité.,"[""F - Finance""]",false
lib_tre_009,COSO 2013,Treasury,TRE-009,Suivi mensuel des covenants,Ratios calculés mensuellement. Reporting et alertes en cas de tension,Covenants non respectés — Exigibilité anticipée,Manual,Month,true,Existing,Trésorerie,Recalculer les ratios sur 3 mois. Vérifier la communication banque.,"[""F - Finance""]",false
lib_tre_010,COSO 2013,Treasury,TRE-010,Rapprochement bancaire mensuel,Tous les comptes rapprochés mensuellement. Items >30j investigués,Compte bancaire non rapproché — Erreur ou fraude non détectée,Manual,Month,true,Existing,Comptabilité,Échantillonner 10 comptes. Vérifier le rapprochement et les items en suspens.,"[""F - Finance""]",false
lib_tre_011,COSO 2013,Treasury,TRE-011,Investigation des encaissements non identifiés,Tout encaissement non identifié sous 5 jours fait l'objet d'une investigation,Encaissement non identifié — Risque de blanchiment ou fraude,Manual,Week,false,Existing,Trésorerie,Lister les encaissements non identifiés sur la période. Vérifier le délai de résolution.,"[""F - Finance""]",false
lib_tre_012,COSO 2013,Treasury,TRE-012,Procédure anti-FOVI avec callback,Tout virement urgent / inhabituel exige callback sur numéro vérifié + double validation,Fraude au président / faux ordre de virement — Détournement de fonds,Manual,Day,true,Existing,Trésorerie,Tester avec un cas simulé. Échantillonner 10 virements urgents et vérifier le callback.,"[""F - Finance""]",false
